"Wine English Name
葡萄酒名称（英文）",,编号,Region,Grape Varieties,,"Wine Chinese Name
葡萄酒名称（中文）","Wine English Name
葡萄酒名称（英文）","Type
类型","Vintage
年份","Alcohol level
酒精度","Residual Sugar Level
甜度（g/L）"
Duval Leroy Blanc de Blancs 《Grand Cru》Brut,9,Sparkling-TOD-C,France>Champagne,Chardonnay_1,,杜洛儿白中白香槟,Duval Leroy Blanc de Blancs 《Grand Cru》Brut,Sparkling,2006,0.125,
Champagne Charles de CAZANOVE Brut - Millesime 2005,8,Sparkling-TOD-C,France>Champagne AOP,,Pinot Noir_0.6/Chardonnay_0.4,凯萨王-特选年份香槟葡萄酒,Champagne Charles de CAZANOVE Brut - Millesime 2005,干型,2005,0.13,
Brachetto d'Acqui D.O.C.G. “Sogno Rosso”,19,SWEET,Italy>Piedmont,Brachetto_1,,索尼奥布拉凯多红葡萄酒,Brachetto d'Acqui D.O.C.G. “Sogno Rosso”,干红,2014,0.06,6.3
Dilema Sweet Natural White,1,SWEET,Argentina〉Mendoza,,,,Dilema Sweet Natural White,White,2014,0.09,
Kracher Cuvee Beerenauslese,5,SWEET,Austria〉Burgenland,Welschriesling_0.6/_0.4,,格莱士逐粒精选甜白,Kracher Cuvee Beerenauslese,Sweet Wine,2011,0.11,
Chateau du Cros Loupiac,6,SWEET,France>Loupiac,,Semillon_0.95/Sauvignon Blanc_0.05,帝可古堡贵腐甜白葡萄酒,Chateau du Cros Loupiac,甜白,2006,0.14,
Reichsgraf von Kesselstatt Josephshofer Riesling Spatlese,7,SWEET,Germany>Mosel>Middle Mosel,,Riesling_1,冯.开世泰伯爵酒庄约瑟胡佛园雷司令晚收,Reichsgraf von Kesselstatt Josephshofer Riesling Spatlese,white wine,2013,0.08,69.3
Cienna,2,SWEET,,,,布琅兄弟森娜甜红葡萄酒,Cienna,,2013,0.065,115
Moscato ,3,SWEET,,,,布琅兄弟莫斯卡托甜白葡萄酒,Moscato ,,2014,0.05,117
Moscato Rosa,4,SWEET,,,,布琅兄弟莫斯卡托桃红葡萄酒,Moscato Rosa,,2014,0.07,90
Moscato d'Asti D.O.C.G. “Oroluce”,6,Sweet-MOS,Italy>Piedmont,Moscato_1,,OROLUCE莫斯卡托白葡萄酒,Moscato d'Asti D.O.C.G. “Oroluce”,甜白,2013,0.055,6
Canyon Road Moscato,10,Sweet-MOS,USA>California,Moscato_1,,凯岚麝香白葡萄酒,Canyon Road Moscato,甜白葡萄酒,2013,0.09,7.11
Flinders 2014 South Australia Moscato ,2,Sweet-MOS,Australia>South Australia ,Moscato_1,,富临发现者南澳莫斯卡托葡萄酒(2014),Flinders 2014 South Australia Moscato ,甜白,2014,0.085,91.7g/L
G.D.Vajra Moscato D'Asti,9,Sweet-MOS,Italy>Piedmont,Moscato_1 ,,瓦嘉拉阿斯蒂莫斯卡托甜白葡萄酒,G.D.Vajra Moscato D'Asti,White Wine,2011,0.055,
Giacomo Bologna Braida Vigna Senza Nome,8,Sweet-MOS,Italy>Moscato d'Asti,Moscato_1 ,,无名葡萄园低醇葡萄酒,Giacomo Bologna Braida Vigna Senza Nome,甜型微气,2013,0.055,104
GRANT BURGE MOSCATO 2014 750ml ,3,Sweet-MOS,Australia>Australia>Australia,Moscato_1 ,,格兰伯爵墨斯卡多白葡萄酒,GRANT BURGE MOSCATO 2014 750ml ,white,2014,0.08,甜型
SANMAURIZIO VALLEBELBO ASTI 750ml NV ,7,Sweet-MOS,Italy>Piedmont>Piedmont,Moscato_1,,圣马利佐阿斯提白起泡葡萄酒,SANMAURIZIO VALLEBELBO ASTI 750ml NV ,sparkling,nv,0.075,甜型
Orange Muscat & Flora,4,Sweet-MOS,,,Orange Muscat_0.8/Flora_0.2,布琅兄弟甜白葡萄酒,Orange Muscat & Flora,,2013,,120
Stella Bella Pink Muscat,5,Sweet-MOS,Australia>Margaret River,,Muscat Rose_1,斯黛拉贝勒酒园莫斯卡托桃红,Stella Bella Pink Muscat,Sweet Wine,2013,0.075,86
,3？,TEMP-SP-A,Spain>Produce Of Spain DO Calatayud Denominacion De Origen,Tempranillo_1,,堡罗红葡萄酒,,干红,2012,0.135,4.3
Finca Villacreces Pruno,1,TEMP-SP-A,Spain>Ribera del duero,Tempranillo_0.9/Cabernet Sauvignon_0.1,,普诺红葡萄酒,Finca Villacreces Pruno,Red,2012,0.14,
Canals & Nubiola Tinto,5,TEMP-SP-A,Spain>Catalunya,,Tempranillo_0.5/Merlot_0.4/Cabernet Sauvignon_0.1,卡努庄园干红葡萄酒,Canals & Nubiola Tinto,Red,,0.125,
Valdubon Cosecha,6,TEMP-SP-A,Spain>Ribera del Duero,,Tempranillo_1,维尔博庄园干红葡萄酒,Valdubon Cosecha,Red,2014,0.125,
Solar Viejo Cosecha,7,TEMP-SP-A,Spain>Rioja,,Tempranillo_1,古拉索庄园干红葡萄酒,Solar Viejo Cosecha,Red,2013,0.137,
Tentadero Tempranillo Organic & Biodynamic wine ,8,TEMP-SP-A,Spain>La Mancha,,Tempranillo_1,牛斗丹魄有机&生物动力干红葡萄酒 ,Tentadero Tempranillo Organic & Biodynamic wine ,red wine,2013,0.13,
VINA EGUIA  Crianza,2,TEMP-SP-A,Spain>Rioja D.O.C.,,Tempranillo_1,伊格娅誓言-佳酿红葡萄酒,VINA EGUIA  Crianza,干型,2011,0.13,
Caelos Serres Crianza 2010 Red Wine,4,TEMP-SP-A,SPAIN>RIOJA>RIOJA ALTA,,Tempranillo_0.85/GARNACHA_0.15,,Caelos Serres Crianza 2010 Red Wine,DRY RED,2010,13%VOL,
Campo Viejo Reserva,15,TEMP-SP-B,Spain>Rioja,Tempranillo_0.85/Graciano_0.1/Mazuelo_0.05,,帝国田园珍藏,Campo Viejo Reserva,干红,2008,0.135,1.62
Campo Viejo Gran Reserva,17,TEMP-SP-B,Spain>Rioja,Tempranillo_0.85/Graciano_0.1/Mazuelo_0.05,,帝国田园特优珍藏,Campo Viejo Gran Reserva,干红,2008,0.135,2.7
Beornia Reserva,18,TEMP-SP-B,Spain>Rioja>Rioja Alta,Tempranillo_0.9/Graciano_0.05/Mazuelo_0.05,,贝尔莱珍藏干红葡萄酒,Beornia Reserva,干红,2010,0.14,1.4
,14,TEMP-SP-B,Spain>Ribera Del Duero Denominacion De Origen,Tempranillo_1,,堡蔻佳酿干红葡萄酒,,干红,2011,0.135,4.6
CASTILLO DE PENAFIEL CRIANZA RED WINE 2008,19,TEMP-SP-B,Spain>REBERA DEL DUERO,Tempranillo_1,,潘娜菲尔城堡陈酿级橡木干红葡萄酒,CASTILLO DE PENAFIEL CRIANZA RED WINE 2008,RED WINE,2008,0.13,
Riscal Rioja Red Reserva,20,TEMP-SP-B,Spain>Rioja,Tempranillo_0.9/Graciano_0.07/Mazuelo_0.03,,瑞格尔侯爵救酒园里奥哈陈年特酿法定产区干红葡萄酒,Riscal Rioja Red Reserva,Red,2010,0.142,
Bodegas Resalte de Penafiel Pena Roble,10,TEMP-SP-B,Spain>Ribera del Duero,Tempranillo_1 ,,伯德嘉 瑞索特 佩纳 诺布雷 裘文(新贵之选)葡萄酒,Bodegas Resalte de Penafiel Pena Roble,干红,2012,0.14,
"Emilio Moro, Finca Resalso, DO",11,TEMP-SP-B,Spain>Ribera del Duero,Tempranillo_1,,摩罗酒庄，芬卡红,"Emilio Moro, Finca Resalso, DO",Red,2013,0.135,
"Emilio Moro, Emilio Moro, DO",12,TEMP-SP-B,Spain>Ribera del Duero,Tempranillo_1,,摩罗酒庄，摩罗艾美红,"Emilio Moro, Emilio Moro, DO",Red,2011,0.145,
"Luis Cañas, Crianza, DOCa Rioja",13,TEMP-SP-B,Spain〉Rioja,Tempranillo_0.95/Garnacha_0.05,,路易卡纳斯，陈酿红，里奥哈,"Luis Cañas, Crianza, DOCa Rioja",Red,2011,0.14,
Tentadero  2008 ,21,TEMP-SP-B,Spain>La Mancha,,Tempranillo_0.35/Cabernet Sauvignon_0.35/Syrah_0.1/Merlot _0.1,牛斗混酿干红葡萄酒,Tentadero  2008 ,red wine,2008,0.145,
Caelos Serres Reserva 2007 Red Wine,16,TEMP-SP-B,SPAIN>RIOJA>RIOJA ALTA,,Tempranillo_0.9/GRACIANO_0.1,,Caelos Serres Reserva 2007 Red Wine,DRY RED,2007,0.135,
Bodegas y Vinedos Alnardo PSI ,23？,TEMP-SP-B,Spain>Ribera del Duero DO,,Tempranillo_1,"奥纳多庄园理想红葡萄酒, 杜罗河岸DO",Bodegas y Vinedos Alnardo PSI ,Red Wine,2010,,
Viña Real Crianza,22,TEMP-SP-B,Spain>Rioja>Alta,,Tempranillo_0.9/Garnacha_0.033/Graciano_0.033/Mazuelo_0.033,,Viña Real Crianza,Red,2009,"13,5%","2,1 g/l"
La Iglesia de Arinzano DOP 2007,24？,TEMP-SP-C,Spain>Navarra>Arinzano,Tempranillo_0.75/Cabernet Sauvignon_0.05/Merlot_0.2,,阿勒查诺教堂干红葡萄酒,La Iglesia de Arinzano DOP 2007,Red,2007,0.14,1.03
"Abadia Retuerta Selection Especial, Sardon de Duero",25?,TEMP-SP-C,Spain>Sardon de Duero,,Tempranillo_0.75/Cabernet Sauvignon_0.2/Merlot_0.05,"天使之堤精选, 萨顿德尔杜罗","Abadia Retuerta Selection Especial, Sardon de Duero",Red Wine,2010,0.14,
Imperial Reserva,26,TEMP-SP-C,Spain>Rioja>Alavesa ,,Tempranillo_0.85/Graciano_0.1/Mazuelo_0.05,,Imperial Reserva,Red,2008,"13,7%","1,7 g/l"
Continho Reserva,27?,TEMP-SP-C,Spain>Rioja>Alavesa ,,Tempranillo_0.85/Graciano_0.1/Grenacha_0.025/Mazuelo_0.025,,Continho Reserva,Red,2007,"14,0%","2,0 g/l"
Sartori RV Rosso Veronese IGT,1,VENETO-A,Italy>Veneto,Corvina Veronese/Merlot/Cabernet Sauvignon,,桑托利酒庄维罗纳红葡萄酒,Sartori RV Rosso Veronese IGT,干红,2012,0.13,
CORTE GIARA VALPOLICELLA 2013 750ml  ,2,VENETO-A,Italy>Veneto>Veneto,Corvina Veronese_0.75/Rondinella_0.25,,科奇拉瓦波利切拉红葡萄酒,CORTE GIARA VALPOLICELLA 2013 750ml  ,red,2013,0.125,干型
Valpolicella DOC,6,VENETO-B,Italy>West Italy>Valpolicella Classico,Corvina_0.8/Rondinella_0.2 ,,瓦波利切拉红葡萄酒,Valpolicella DOC,Red Wine,2013,0.12,
Secco Bertani Verona IGT,7,VENETO-B,Italy>North Italy〉Verona,Corvina_0.8/Merlot_0.2,,西可-贝塔尼维诺那红葡萄酒,Secco Bertani Verona IGT,Red Wine,2011,0.13,
Recioto di Soave DOCG,8?,VENETO-B,Italy>Veneto>Soave,,Garganega_1,,Recioto di Soave DOCG,White sparkling wine,2012,0.12,90g/l
Amarone della Valpolicella DOC,9?,VENETO-C,Italy>Veneto>Valpolicella,,Corvina_0.85/Rondinella_0.1/Molinara_0.05,,Amarone della Valpolicella DOC,Red wine still,2006,0.155,7g/l
Musella Valpolicella Superiore Vigne Nuove DOC,10,VENETO-C,Italy>Veneto,,Corvina e Corvinone_0.8/Rondinella_0.1/Barbera_0.1,穆塞拉酒园高级瓦珀丽齐拉红,Musella Valpolicella Superiore Vigne Nuove DOC,Red,2012,0.134,4
Musella Amarone della Valpolicella DOCG,11,VENETO-C,Italy>Veneto,,Corvina e Corvinone_0.7/Rondinella_0.2/Oseleta_0.1,穆塞拉酒园阿玛罗尼红,Musella Amarone della Valpolicella DOCG,Red,2008,0.16,7.5
Three Bears Zinfandel,1,ZIN-US-A,USA>California,Zinfandel_1,,三只熊仙粉黛干红葡萄酒,Three Bears Zinfandel,Red,2012,0.152,Dry
Silver Palm Zinfandel,2,ZIN-US-A,USA>California,Zinfandel_0.86/Petit Syrah_0.13/Barbera_0.01,,银葩仙粉黛干红葡萄酒,Silver Palm Zinfandel,干红,2012,0.145,
FOLIE A DEUX Menage a Trois Red,3,ZIN-US-A,USA>California,,Zinfandel_0.4/Merlot_0.3/Cabernet Sauvignon_0.3,弗利埃都-加州三重奏红葡萄酒 ,FOLIE A DEUX Menage a Trois Red,干型,2013,0.13,
Beringer  California White Zinfandel ,1,ZIN-US-A,USA>California,,Zinfandel,贝灵哲庄园白仙芬黛桃红葡萄酒,Beringer  California White Zinfandel ,,2013,,
"Gnarly Head Old Vine Zinfandel, Lodi",4,ZIN-US-A,USA>Califonia>Lodi,,Zinfandel_1,德利卡老藤园馨芳红葡萄酒,"Gnarly Head Old Vine Zinfandel, Lodi",Red,2012,0.135,>1
OZV Old Vine Zinfdandel,6,ZIN-US-B,USA>California>Lodi,Zinfandel_0.96/Petite Syrah_0.04,,讴美古藤仙粉黛,OZV Old Vine Zinfdandel,干型红葡萄酒,2009,0.1395,
POTO Zinfandel,7,ZIN-US-B,USA>California,Zinfandel_1,,波特 POTO 2012仙粉黛干红葡萄酒,POTO Zinfandel,Red,2012,0.152,Dry
POTO Red Blend,0,ZIN-US-B,USA>California,Zinfandel_0.55/Souzão_0.45,,波特 POTO 2012干红葡萄酒,POTO Red Blend,Red,2012,0.148,Dry
Dancing Bull Zinfandel,9,ZIN-US-B,USA>California,Zinfandel_1,,锐牛金粉黛红葡萄酒,Dancing Bull Zinfandel,红葡萄酒,2013,0.139,4.6
Ektimo Vineyards Zinfandel,10,ZIN-US-C,USA>California>Sonoma County,Zinfandel_1,,艾克缇摩酒庄索诺玛郡仙粉黛干红葡萄酒,Ektimo Vineyards Zinfandel,Red,2012,0.145,Dry
Rancho Zabaco Sonoma Heritage Vines Zinfandel,11,ZIN-US-C,USA>Sonoma Country,Zinfandel_1,,萨尔堡索诺玛老藤金粉黛红葡萄酒,Rancho Zabaco Sonoma Heritage Vines Zinfandel,红葡萄酒,2011,0.149,< 5
"Red Deer Station Vineyards
Shiraz",10,,Australia>Barossa Valley,Shiraz_1,,"皇鹿驿站
葡园系列
西拉子干红葡萄酒","Red Deer Station Vineyards
Shiraz",干红,2012,0.145,4.6g/L
"Red Deer Station Royal Reserve 100
Shiraz",47,,Australia>Barossa Valley,Shiraz_1,,"皇鹿驿站
皇家珍藏
100系列
西拉子干红葡萄酒","Red Deer Station Royal Reserve 100
Shiraz",干红,2013,0.15,0.8g/L
QUINTA DO PESSEGUEIRO,11,,Portugal>Douro River>Douro River,Touriga Nacional_0.35/Vinha Velha_0.32/Touriga Francesa_0.25/Tinta Roriz_0.08,,桃源城堡干红,QUINTA DO PESSEGUEIRO,干红葡萄酒,2012,0.135,2
"Oxford Landing Cabernet/Shiraz, South Australia",1,,Australia>South Australia,,Shiraz/Cabernet Sauvignon,牛津园卡本妮苏维翁/设拉子红葡萄酒,"Oxford Landing Cabernet/Shiraz, South Australia",Red Wine,2012,0.13,
